Fips,Average Humidity,State_Code
21201,80.81%,KY
21043,80.78%,KY
21097,80.51%,KY
21069,80.35%,KY
21191,80.30%,KY
21019,80.10%,KY
21037,80.08%,KY
21063,79.69%,KY
21081,79.32%,KY
21077,79.28%,KY
21187,79.23%,KY
21181,79.08%,KY
21153,79.00%,KY
21205,78.94%,KY
21175,78.94%,KY
21127,78.89%,KY
21117,78.65%,KY
21209,78.63%,KY
21017,78.63%,KY
21115,78.53%,KY
21071,78.51%,KY
21011,78.42%,KY
21195,78.42%,KY
21185,78.20%,KY
21165,78.20%,KY
21103,78.16%,KY
21027,78.16%,KY
21111,78.14%,KY
21091,78.14%,KY
21223,78.05%,KY
21163,77.95%,KY
21073,77.94%,KY
21025,77.90%,KY
21143,77.77%,KY
21237,77.76%,KY
21129,77.47%,KY
21173,77.45%,KY
21029,77.43%,KY
21007,77.41%,KY
21159,77.41%,KY
21041,77.38%,KY
21101,77.35%,KY
21067,77.28%,KY
21119,77.27%,KY
21015,77.26%,KY
21193,77.04%,KY
21183,77.03%,KY
21093,76.99%,KY
21139,76.96%,KY
21211,76.95%,KY
21033,76.94%,KY
21005,76.92%,KY
21039,76.91%,KY
21239,76.87%,KY
21059,76.83%,KY
21157,76.74%,KY
21197,76.73%,KY
21233,76.63%,KY
21055,76.57%,KY
21221,76.44%,KY
21085,76.36%,KY
21215,76.32%,KY
21035,76.24%,KY
21133,76.15%,KY
21225,76.03%,KY
21049,75.97%,KY
21075,75.90%,KY
21167,75.90%,KY
21131,75.67%,KY
21189,75.47%,KY
21107,75.37%,KY
21123,75.32%,KY
21095,75.02%,KY
21105,74.94%,KY
21047,74.87%,KY
21031,74.84%,KY
21065,74.81%,KY
21013,74.79%,KY
21179,74.73%,KY
21113,74.73%,KY
21083,74.71%,KY
21229,74.59%,KY
21099,74.53%,KY
21177,74.53%,KY
21121,74.23%,KY
21061,74.01%,KY
21051,73.99%,KY
21235,73.66%,KY
21109,73.62%,KY
21151,73.60%,KY
21021,73.24%,KY
21219,73.24%,KY
21125,73.17%,KY
21155,73.00%,KY
21079,72.79%,KY
21203,72.02%,KY
21137,71.87%,KY
21227,71.78%,KY
21141,71.74%,KY
21199,71.72%,KY
21087,71.54%,KY
21089,71.54%,KY
21045,71.51%,KY
21217,71.13%,KY
21009,70.66%,KY
21213,70.20%,KY
21001,69.98%,KY
21003,69.90%,KY
21169,69.71%,KY
21231,69.21%,KY
21053,69.00%,KY
21207,68.56%,KY
21057,68.32%,KY
21171,67.73%,KY
22029,78.82%,LA
22025,78.73%,LA
22125,78.64%,LA
22045,78.56%,LA
22057,78.40%,LA
22007,78.31%,LA
22021,78.29%,LA
22105,78.27%,LA
22109,78.10%,LA
22077,78.08%,LA
22063,77.74%,LA
22009,77.70%,LA
22037,77.50%,LA
22059,77.41%,LA
22041,77.36%,LA
22033,77.21%,LA
22121,77.14%,LA
22005,76.95%,LA
22047,76.72%,LA
22117,76.72%,LA
22083,76.56%,LA
22107,76.52%,LA
22067,76.45%,LA
22075,76.33%,LA
22123,76.22%,LA
22035,76.19%,LA
22065,76.17%,LA
22051,76.13%,LA
22053,76.13%,LA
22127,75.81%,LA
22061,75.56%,LA
